trial,sort,part,pair,stim_1,stim_2,stim_left,stim_right,choice_stim_left,choice_stim_right,leftright_counter,longdelay,random
1,6,1,6,13,14,13,14,images/choice_trial_13.png,images/choice_trial_14.png,0,0,0.863127716
2,3,1,3,7,8,8,7,images/choice_trial_8.png,images/choice_trial_7.png,1,1,0.354307545
3,5,1,5,11,12,12,11,images/choice_trial_12.png,images/choice_trial_11.png,1,0,0.98313407
4,4,1,4,9,10,10,9,images/choice_trial_10.png,images/choice_trial_9.png,1,0,0.355066133
5,2,1,2,5,6,5,6,images/choice_trial_5.png,images/choice_trial_6.png,0,1,0.932531046
6,1,1,1,1,2,2,1,images/choice_trial_2.png,images/choice_trial_1.png,1,1,0.634054657
7,7,2,12,1,6,1,6,images/choice_trial_1.png,images/choice_trial_6.png,0,1,0.565115976
8,10,2,45,9,12,12,9,images/choice_trial_12.png,images/choice_trial_9.png,1,0,0.865656546
9,8,2,23,5,8,8,5,images/choice_trial_8.png,images/choice_trial_5.png,1,1,0.862997911
10,11,2,56,11,14,11,14,images/choice_trial_11.png,images/choice_trial_14.png,0,0,0.748883267
11,9,2,31,7,2,7,2,images/choice_trial_7.png,images/choice_trial_2.png,0,1,0.389948871
12,12,2,64,13,10,10,13,images/choice_trial_10.png,images/choice_trial_13.png,1,0,0.033630422
13,15,3,36,7,13,7,13,images/choice_trial_7.png,images/choice_trial_13.png,0,0.5,0.017111892
14,18,3,34,8,10,10,8,images/choice_trial_10.png,images/choice_trial_8.png,1,0.5,0.14100888
15,14,3,25,5,11,11,5,images/choice_trial_11.png,images/choice_trial_5.png,1,0.5,0.488498907
16,17,3,26,6,14,6,14,images/choice_trial_6.png,images/choice_trial_14.png,0,0.5,0.989983855
17,13,3,14,1,9,1,9,images/choice_trial_1.png,images/choice_trial_9.png,0,0.5,0.48495679
18,16,3,15,2,12,12,2,images/choice_trial_12.png,images/choice_trial_2.png,1,0.5,0.388072891
