trial,sort,part,pair,stim_1,stim_2,stim_left,stim_right,choice_stim_left,choice_stim_right,leftright_counter,longdelay,random
1,6,1,6,8,15,8,15,images/choice_trial_8.png,images/choice_trial_15.png,0,0,0.130827865
2,3,1,3,4,16,16,4,images/choice_trial_16.png,images/choice_trial_4.png,1,1,0.022402832
3,5,1,5,11,5,5,11,images/choice_trial_5.png,images/choice_trial_11.png,1,0,0.593992846
4,4,1,4,2,9,9,2,images/choice_trial_9.png,images/choice_trial_2.png,1,0,0.592628358
5,2,1,2,12,14,12,14,images/choice_trial_12.png,images/choice_trial_14.png,0,1,0.412832799
6,1,1,1,3,10,10,3,images/choice_trial_10.png,images/choice_trial_3.png,1,1,0.175186815
7,7,2,12,3,14,3,14,images/choice_trial_3.png,images/choice_trial_14.png,0,1,0.431690442
8,10,2,45,2,5,5,2,images/choice_trial_5.png,images/choice_trial_2.png,1,0,0.409636698
9,8,2,23,12,16,16,12,images/choice_trial_16.png,images/choice_trial_12.png,1,1,0.7970384
10,11,2,56,11,15,11,15,images/choice_trial_11.png,images/choice_trial_15.png,0,0,0.837812155
11,9,2,31,4,10,4,10,images/choice_trial_4.png,images/choice_trial_10.png,0,1,0.591015372
12,12,2,64,8,9,9,8,images/choice_trial_9.png,images/choice_trial_8.png,1,0,0.748525328
13,15,3,36,4,8,4,8,images/choice_trial_4.png,images/choice_trial_8.png,0,0.5,0.918907248
14,18,3,34,16,9,9,16,images/choice_trial_9.png,images/choice_trial_16.png,1,0.5,0.624891863
15,14,3,25,12,11,11,12,images/choice_trial_11.png,images/choice_trial_12.png,1,0.5,0.377874726
16,17,3,26,14,15,14,15,images/choice_trial_14.png,images/choice_trial_15.png,0,0.5,0.980068686
17,13,3,14,3,2,3,2,images/choice_trial_3.png,images/choice_trial_2.png,0,0.5,0.228221767
18,16,3,15,10,5,5,10,images/choice_trial_5.png,images/choice_trial_10.png,1,0.5,0.716867691
